query,target_class
Tingling in both feet at night,Podiatry
Foot pain that feels like a bruise,Podiatry
Heel pain that doesn't go away,Podiatry
Foot pain with no obvious cause,Podiatry
Tingling in my foot from a fall,Podiatry
Foot pain that gets worse with activity,Podiatry
Blisters from wearing socks all day,Podiatry
Foot pain after a long day of work,Podiatry
Tingling in my foot from standing too long,Podiatry
Foot pain that feels like a knot,Podiatry
Cancer and pain management options,Hospice and Palliative Care
End-of-life care for my spouse,Hospice and Palliative Care
Palliative care for chronic illness,Hospice and Palliative Care
Symptoms of hospice care,Hospice and Palliative Care
How to get hospice services,Hospice and Palliative Care
Palliative care for heart failure,Hospice and Palliative Care
Hospice near me for terminal illness,Hospice and Palliative Care
Palliative care for cancer patients,Hospice and Palliative Care
Coping with terminal illness,Hospice and Palliative Care
Hospice for advanced lung disease,Hospice and Palliative Care
Palliative care for dementia,Hospice and Palliative Care
Hospice for liver failure,Hospice and Palliative Care
Palliative care for COPD,Hospice and Palliative Care
Hospice services for stage 4 cancer,Hospice and Palliative Care
Palliative care for pain relief,Hospice and Palliative Care
Hospice care for terminal illness,Hospice and Palliative Care
Palliative care for cancer treatment,Hospice and Palliative Care
Hospice for end-stage illness,Hospice and Palliative Care
Palliative care for chronic pain,Hospice and Palliative Care
Hospice for metastatic cancer,Hospice and Palliative Care
Palliative care for advanced illness,Hospice and Palliative Care
Hospice for severe illness,Hospice and Palliative Care
Palliative care for terminal disease,Hospice and Palliative Care
Hospice for cancer patients,Hospice and Palliative Care
Palliative care for end-of-life care,Hospice and Palliative Care
Hospice for heart problems,Hospice and Palliative Care
Palliative care for terminal cancer,Hospice and Palliative Care
Hospice for advanced disease,Hospice and Palliative Care
Palliative care for severe symptoms,Hospice and Palliative Care
Hospice for life-limiting illness,Hospice and Palliative Care
Eye pain when reading,Ophthalmology
Blurry vision in one eye,Ophthalmology
Floaters in my vision,Ophthalmology
Eye redness and irritation,Ophthalmology
Sudden vision loss,Ophthalmology
Eye itching and burning,Ophthalmology
Dark spots in my field of view,Ophthalmology
Eye dryness and discomfort,Ophthalmology
Eye swelling and pain,Ophthalmology
Light sensitivity in eyes,Ophthalmology
Eye discharge and redness,Ophthalmology
Eye fatigue after long screen time,Ophthalmology
Vision changes in both eyes,Ophthalmology
Eye pain with head injury,Ophthalmology
Eye redness after crying,Ophthalmology
Eye pain that worsens at night,Ophthalmology
Eye pain with neck strain,Ophthalmology
Eye pain after staring at a screen,Ophthalmology
Eye pain with head movement,Ophthalmology
Eye pain and headache together,Ophthalmology
Eye pain with tooth pain,Ophthalmology
Eye pain with sinus issues,Ophthalmology
Eye pain with earache,Ophthalmology
Eye pain with jaw pain,Ophthalmology
Eye pain with neck pain,Ophthalmology
Eye pain with shoulder pain,Ophthalmology
Eye pain with face pain,Ophthalmology
Eye pain with temple pain,Ophthalmology
Eye pain with forehead pain,Ophthalmology
Eye pain with cheek pain,Ophthalmology
Eye pain after long screen time,Optometry
Blurry vision in one eye,Optometry
Dry eyes from computer use,Optometry
Eye strain from reading,Optometry
Tingling in my eyes,Optometry
Eye redness with watering,Optometry
Sudden vision loss in one eye,Optometry
Eye itching with discharge,Optometry
Eye pain with head pressure,Optometry
Wearing contacts causes eye pain,Optometry
Eye fatigue after driving,Optometry
Eye swelling with pain,Optometry
Eye pain behind the eye,Optometry
Eye irritation from wind,Optometry
Eye pain with light sensitivity,Optometry
Eye redness without discharge,Optometry
Eye pain with headaches,Optometry
Eye pain from bright lights,Optometry
Eye pain with coughing,Optometry
Eye pain with bending over,Optometry
Eye pain with sudden movement,Optometry
Eye pain with fatigue,Optometry
Eye pain with eye closure,Optometry
Eye pain with eye movement,Optometry
Eye pain with eye pressure,Optometry
Eye pain with eye twitching,Optometry
Eye pain with eye swelling,Optometry
Eye pain with eye fatigue,Optometry
Eye pain with eye strain,Optometry
Eye pain with eye discomfort,Optometry
I need help with chronic back pain,Physical Medicine and Rehabilitation
My leg is numb and I feel weak,Physical Medicine and Rehabilitation
I have trouble walking after surgery,Physical Medicine and Rehabilitation
I'm recovering from a knee replacement,Physical Medicine and Rehabilitation
My shoulder pain won't go away,Physical Medicine and Rehabilitation
I'm having trouble with balance and coordination,Physical Medicine and Rehabilitation
I need advice on physical therapy after a stroke,Physical Medicine and Rehabilitation
I have persistent fatigue after an injury,Physical Medicine and Rehabilitation
I'm struggling with mobility after a car accident,Physical Medicine and Rehabilitation
I'm not able to lift things without pain,Physical Medicine and Rehabilitation
I have recurring headaches and dizziness,Physical Medicine and Rehabilitation
I need help with rehabilitation after a spinal injury,Physical Medicine and Rehabilitation
I'm having trouble with muscle weakness on one side,Physical Medicine and Rehabilitation
I'm recovering from a hip fracture,Physical Medicine and Rehabilitation
I need guidance on managing pain after a surgery,Physical Medicine and Rehabilitation
I'm having trouble with joint stiffness,Physical Medicine and Rehabilitation
I'm trying to regain strength after a sports injury,Physical Medicine and Rehabilitation
I have difficulty moving my fingers,Physical Medicine and Rehabilitation
I need help with physical therapy for a brain injury,Physical Medicine and Rehabilitation
I'm experiencing pain in my neck and shoulders,Physical Medicine and Rehabilitation
I'm trying to improve my balance and coordination,Physical Medicine and Rehabilitation
I need assistance with daily activities after an injury,Physical Medicine and Rehabilitation
I have trouble with reflexes and movement,Physical Medicine and Rehabilitation
I'm recovering from a heart attack,Physical Medicine and Rehabilitation
I'm having trouble with muscle spasms,Physical Medicine and Rehabilitation
I need help with rehabilitation after a fall,Physical Medicine and Rehabilitation
I'm struggling with mobility and independence,Physical Medicine and Rehabilitation
I have difficulty with posture and movement,Physical Medicine and Rehabilitation
I need advice on physical therapy for a stroke,Physical Medicine and Rehabilitation
I'm having trouble with coordination and control,Physical Medicine and Rehabilitation
Anesthesia for surgery,Anesthesiology
Pain during surgery,Anesthesiology
Nerve damage after anesthesia,Anesthesiology
Anesthesia side effects,Anesthesiology
Anesthesia and memory loss,Anesthesiology
Anesthesia risks,Anesthesiology
Anesthesia for childbirth,Anesthesiology
Anesthesia and drowsiness,Anesthesiology
Anesthesia recovery time,Anesthesiology
Anesthesia for dental work,Anesthesiology
Anesthesia for minor procedures,Anesthesiology
Anesthesia and nausea,Anesthesiology
Anesthesia and confusion,Anesthesiology
Anesthesia for elderly patients,Anesthesiology
Anesthesia and heart problems,Anesthesiology
Anesthesia and breathing issues,Anesthesiology
Anesthesia for children,Anesthesiology
Anesthesia and allergies,Anesthesiology
Anesthesia and swelling,Anesthesiology
Anesthesia and stiffness,Anesthesiology
Anesthesia and fatigue,Anesthesiology
Anesthesia and sleepiness,Anesthesiology
Anesthesia and numbness,Anesthesiology
Anesthesia and muscle weakness,Anesthesiology
Anesthesia and headaches,Anesthesiology
Anesthesia and vomiting,Anesthesiology
Anesthesia and anxiety,Anesthesiology
Anesthesia and pain relief,Anesthesiology
Anesthesia for cancer treatment,Anesthesiology
Anesthesia and infection risk,Anesthesiology
"Red, scaly patches on hands",Dermatology
Itchiness on my neck that won't go away,Dermatology
Pimple-like bumps on my face,Dermatology
Skin turning red after sun exposure,Dermatology
Flaky skin on my arms and legs,Dermatology
Blisters on my feet from no apparent cause,Dermatology
Purple spots on my legs,Dermatology
"Dry, cracked skin on my heels",Dermatology
Rash that comes and goes on my chest,Dermatology
Sudden skin discoloration on my forehead,Dermatology
Bumps that feel itchy and sore,Dermatology
Skin irritation after using new soap,Dermatology
Rash spreading on my arms and legs,Dermatology
Dark spots on my face that don't fade,Dermatology
Sudden rash after eating something,Dermatology
Skin peeling on my forehead,Dermatology
Red bumps on my cheeks,Dermatology
Itchy skin that doesn't stop,Dermatology
Skin flaking in winter,Dermatology
Blisters on my hands from washing dishes,Dermatology
Redness and pain on my shin,Dermatology
Skin discoloration under my eyes,Dermatology
Bumps that come and go on my back,Dermatology
Itchy rash on my arms,Dermatology
Skin irritation after swimming in a pool,Dermatology
Red patches on my knees,Dermatology
Sudden skin rash after a haircut,Dermatology
Skin that feels tight and dry,Dermatology
Bumps on my neck that are painful,Dermatology
"Red, raised spots on my forehead",Dermatology
nighttime trouble falling asleep,Sleep Medicine
can't stay asleep through the night,Sleep Medicine
sleeping a lot but still feel tired,Sleep Medicine
sleeping too much during the day,Sleep Medicine
difficulty falling asleep on weekends,Sleep Medicine
waking up a lot during the night,Sleep Medicine
sleeping poorly after dinner,Sleep Medicine
restless legs syndrome symptoms,Sleep Medicine
sleeping too much but not feeling refreshed,Sleep Medicine
feeling sleepy during the day even after sleep,Sleep Medicine
sleep issues after a stressful day,Sleep Medicine
sleeping irregularly due to work schedule,Sleep Medicine
sleep disturbances in children,Sleep Medicine
sleep problems with a cold or flu,Sleep Medicine
sleeping more than 9 hours a night,Sleep Medicine
sleeping too little but still tired,Sleep Medicine
difficulty falling asleep in the evening,Sleep Medicine
sleep issues related to anxiety,Sleep Medicine
sleep problems after a big meal,Sleep Medicine
sleeping through the night but waking up tired,Sleep Medicine
sleeping a lot but not able to concentrate,Sleep Medicine
sleep disturbances during pregnancy,Sleep Medicine
sleep problems with a new baby,Sleep Medicine
sleep issues after a head injury,Sleep Medicine
sleeping too much but no one else is tired,Sleep Medicine
sleep problems with a new job,Sleep Medicine
sleep disturbances in elderly adults,Sleep Medicine
sleeping too much but not feeling rested,Sleep Medicine
sleep issues after a surgery,Sleep Medicine
sleep problems with a new medication,Sleep Medicine
Nightmare-like dreams and fatigue,Diagnostic Radiology
Stiff neck and shoulder pain,Diagnostic Radiology
Tingling in fingers and toes,Diagnostic Radiology
Persistent cough with mucus,Diagnostic Radiology
Frequent headaches and dizziness,Diagnostic Radiology
Swelling in legs and ankles,Diagnostic Radiology
Sudden weight loss and hunger,Diagnostic Radiology
Bowel movements change in pattern,Diagnostic Radiology
Blood in stool and cramps,Diagnostic Radiology
Fatigue and muscle aches,Diagnostic Radiology
Difficulty concentrating and memory loss,Diagnostic Radiology
Nausea and vomiting without cause,Diagnostic Radiology
Unexplained bruising and pain,Diagnostic Radiology
Cold hands and feet despite warmth,Diagnostic Radiology
Persistent sneezing and runny nose,Diagnostic Radiology
Sudden vision blurring and light sensitivity,Diagnostic Radiology
Irregular heartbeat and palpitations,Diagnostic Radiology
Shortness of breath and chest tightness,Diagnostic Radiology
Persistent earache and hearing loss,Diagnostic Radiology
Sudden confusion and forgetfulness,Diagnostic Radiology
Frequent urination and thirst,Diagnostic Radiology
Itchy rash and skin redness,Diagnostic Radiology
Unexplained fever and chills,Diagnostic Radiology
Numbness in hand or foot,Diagnostic Radiology
Persistent back pain and stiffness,Diagnostic Radiology
Sudden mood changes and anxiety,Diagnostic Radiology
Fatigue and inability to sleep,Diagnostic Radiology
Sudden weight gain and swelling,Diagnostic Radiology
Stomach pain and bloating,Diagnostic Radiology
Persistent ringing in ears,Diagnostic Radiology
Family member has unusual birthmarks,Medical Genetics and Genomics
Child frequently gets infections,Medical Genetics and Genomics
Losing hair with age,Medical Genetics and Genomics
Frequent nosebleeds without cause,Medical Genetics and Genomics
Swollen joints since childhood,Medical Genetics and Genomics
Developmental delays in toddler,Medical Genetics and Genomics
Family history of heart issues,Medical Genetics and Genomics
Eyesight problems in both eyes,Medical Genetics and Genomics
Unexplained weight loss and fatigue,Medical Genetics and Genomics
Skin rashes that come and go,Medical Genetics and Genomics
Sudden hearing loss in one ear,Medical Genetics and Genomics
Recurrent ear infections,Medical Genetics and Genomics
Family cancer history,Medical Genetics and Genomics
Tingling in hands and feet,Medical Genetics and Genomics
Sleeping a lot but not tired,Medical Genetics and Genomics
Birth defects in multiple family members,Medical Genetics and Genomics
Unusual bruising easily,Medical Genetics and Genomics
Frequent stomach aches in child,Medical Genetics and Genomics
Family heart rhythm issues,Medical Genetics and Genomics
Sudden speech changes,Medical Genetics and Genomics
Eyesight worsening quickly,Medical Genetics and Genomics
Unexplained skin pigmentation changes,Medical Genetics and Genomics
Frequent nosebleeds in child,Medical Genetics and Genomics
Family mental health history,Medical Genetics and Genomics
Tingling in legs at night,Medical Genetics and Genomics
Unexplained muscle weakness,Medical Genetics and Genomics
Frequent colds and coughs,Medical Genetics and Genomics
Family blood clot history,Medical Genetics and Genomics
Sudden vision loss in one eye,Medical Genetics and Genomics
Unexplained skin growths,Medical Genetics and Genomics
Headache that won't go away,Neurology
Memory problems getting worse,Neurology
Stiff neck and confusion,Neurology
Falling often without knowing why,Neurology
Tingling in hands and feet,Neurology
Seizures lately,Neurology
Trouble focusing and losing balance,Neurology
Dizziness and blurred vision,Neurology
Swelling in legs and confusion,Neurology
Sudden speech difficulties,Neurology
Numbness on one side,Neurology
Feeling faint and shaky,Neurology
Sleeping a lot but not feeling well,Neurology
Strange noises in ears,Neurology
Fatigue and mood changes,Neurology
Loss of appetite and confusion,Neurology
Walking clumsily,Neurology
Severe migraines with nausea,Neurology
Sudden hearing loss,Neurology
Unexplained weight loss and anxiety,Neurology
Confusion and trouble speaking,Neurology
Sudden vision loss in one eye,Neurology
Tingling in fingers and weakness,Neurology
Memory lapses and mood swings,Neurology
Stiffness in joints and fatigue,Neurology
Headache with stiff neck,Neurology
Trouble with balance and coordination,Neurology
Sudden changes in behavior,Neurology
Dizziness and difficulty walking,Neurology
Swollen hands and feet,Neurology
Nuclear medicine scans for pain in my chest,Nuclear Medicine
My doctor said I need a nuclear scan for my thyroid,Nuclear Medicine
I’m worried about a nuclear medicine test,Nuclear Medicine
Nuclear medicine for bone pain diagnosis,Nuclear Medicine
I had a nuclear scan and it was abnormal,Nuclear Medicine
What does a nuclear medicine scan show?,Nuclear Medicine
Nuclear medicine for heart problems,Nuclear Medicine
I’m concerned about my heart with nuclear tests,Nuclear Medicine
Nuclear medicine for thyroid issues,Nuclear Medicine
Why would I need a nuclear medicine test?,Nuclear Medicine
Nuclear medicine and cancer detection,Nuclear Medicine
I have a lump and need nuclear imaging,Nuclear Medicine
Nuclear medicine for liver problems,Nuclear Medicine
What’s involved in a nuclear medicine scan?,Nuclear Medicine
I’m scared of nuclear medicine procedures,Nuclear Medicine
Nuclear medicine for joint pain,Nuclear Medicine
I need to schedule a nuclear medicine exam,Nuclear Medicine
Nuclear medicine for brain disorders,Nuclear Medicine
What are the risks of nuclear medicine?,Nuclear Medicine
I have symptoms and need nuclear testing,Nuclear Medicine
Nuclear medicine for cancer staging,Nuclear Medicine
I’m looking for nuclear medicine clinics,Nuclear Medicine
Nuclear medicine and radiation exposure,Nuclear Medicine
I’m concerned about radiation from nuclear tests,Nuclear Medicine
Nuclear medicine for lung conditions,Nuclear Medicine
What happens during a nuclear medicine scan?,Nuclear Medicine
I need help with nuclear medicine insurance,Nuclear Medicine
Nuclear medicine for abdominal pain,Nuclear Medicine
I have a family history of cancer and nuclear tests,Nuclear Medicine
Nuclear medicine for neurological issues,Nuclear Medicine
Managing withdrawal symptoms from alcohol,Addiction Medicine
Opioid use and difficulty sleeping,Addiction Medicine
Trying to quit smoking but struggling,Addiction Medicine
Nausea and shaking after drug use,Addiction Medicine
Fatigue from long-term substance use,Addiction Medicine
Tiredness and mood swings after meth use,Addiction Medicine
Cravings for benzodiazepines,Addiction Medicine
Drug use affecting my job performance,Addiction Medicine
Hypertension and substance use,Addiction Medicine
Withdrawal from prescription pain meds,Addiction Medicine
Sleep issues with marijuana use,Addiction Medicine
Addiction affecting family relationships,Addiction Medicine
Sudden weight loss with drug use,Addiction Medicine
Anxiety and depression from alcohol,Addiction Medicine
Drug use leading to missed work,Addiction Medicine
Dizziness after using inhalants,Addiction Medicine
Tremors and anxiety from cocaine,Addiction Medicine
Fatigue and irritability from heroin,Addiction Medicine
Withdrawal from stimulants,Addiction Medicine
Mood changes with cannabis use,Addiction Medicine
Addiction impacting school performance,Addiction Medicine
Nausea and dizziness from meth,Addiction Medicine
Sleep problems with prescription drugs,Addiction Medicine
Cravings for opioids,Addiction Medicine
Drug use causing memory loss,Addiction Medicine
Withdrawal symptoms from benzodiazepines,Addiction Medicine
Tiredness from long-term drug use,Addiction Medicine
Anxiety and restlessness from drugs,Addiction Medicine
Addiction affecting daily life,Addiction Medicine
Fatigue and confusion after drug use,Addiction Medicine
Allergy causing sneezing and itchy eyes,Allergy/ Immunology
Nasal congestion with possible allergy,Allergy/ Immunology
Itchy skin after eating new food,Allergy/ Immunology
Allergic reaction to pollen season,Allergy/ Immunology
"Red, itchy rash on hands",Allergy/ Immunology
Allergy symptoms worsening this week,Allergy/ Immunology
Swelling around eyes and mouth,Allergy/ Immunology
Allergy to bees and stings,Allergy/ Immunology
Coughing with postnasal drip,Allergy/ Immunology
Allergy to dust mites in home,Allergy/ Immunology
Sneezing all day long,Allergy/ Immunology
Allergy symptoms in children,Allergy/ Immunology
Hives after taking medication,Allergy/ Immunology
Allergy to certain foods,Allergy/ Immunology
Itchy skin with red bumps,Allergy/ Immunology
Allergy to pet dander,Allergy/ Immunology
Rash after swimming in pool,Allergy/ Immunology
Allergy to flowers in garden,Allergy/ Immunology
Nasal stuffiness and headaches,Allergy/ Immunology
Allergy symptoms in winter,Allergy/ Immunology
Itchy eyes and runny nose,Allergy/ Immunology
Allergy to mold in house,Allergy/ Immunology
Sneezing and coughing together,Allergy/ Immunology
Allergy to certain foods,Allergy/ Immunology
"Red, raised patches on skin",Allergy/ Immunology
Allergy symptoms lasting weeks,Allergy/ Immunology
Itchy mouth and throat,Allergy/ Immunology
Allergy to insect bites,Allergy/ Immunology
Rash with itching and burning,Allergy/ Immunology
Allergy to outdoor plants,Allergy/ Immunology
Trouble hearing in one ear,Audiologist
Muffled hearing when talking,Audiologist
Hearing loss after a cold,Audiologist
Tinnitus that won’t go away,Audiologist
Strange sounds in my ears,Audiologist
Hearing better in one ear,Audiologist
Difficulty understanding speech,Audiologist
Ear pain with hearing loss,Audiologist
Hearing changes suddenly,Audiologist
Noise in my ears all day,Audiologist
Hearing loss in my child,Audiologist
Earache with muffled hearing,Audiologist
Hearing problems after a head injury,Audiologist
Tinnitus and hearing loss,Audiologist
Hearing better when I tilt my head,Audiologist
Hearing loss in both ears,Audiologist
Ear discomfort with ringing,Audiologist
Hearing issues during sleep,Audiologist
Tinnitus that gets worse at night,Audiologist
Hearing loss from loud noises,Audiologist
Ear pressure with hearing changes,Audiologist
Hearing problems after a flu,Audiologist
Tinnitus and ringing in ears,Audiologist
Hearing loss with dizziness,Audiologist
Ear pain and hearing trouble,Audiologist
Hearing issues with a cold,Audiologist
Tinnitus and muffled hearing,Audiologist
Hearing loss in one ear only,Audiologist
Ear discomfort and ringing sounds,Audiologist
Hearing problems with a head injury,Audiologist
Hand pain that won't go away,Hand Surgery
Numbness in my fingers,Hand Surgery
Pain when gripping objects,Hand Surgery
Tingling in my hand at night,Hand Surgery
Wrist injury that won't heal,Hand Surgery
Hand swelling and stiffness,Hand Surgery
Pain in the palm of my hand,Hand Surgery
Popping sound in my wrist,Hand Surgery
Difficulty lifting heavy things,Hand Surgery
Hand injury from a fall,Hand Surgery
Pain in the thumb joint,Hand Surgery
Wrist pain after sports,Hand Surgery
Hand weakness and fatigue,Hand Surgery
Popping in my hand joint,Hand Surgery
Tendons in my hand hurting,Hand Surgery
Hand injury from a cut,Hand Surgery
Pain in the little finger,Hand Surgery
Wrist pain that comes and goes,Hand Surgery
Hand swelling after an injury,Hand Surgery
Thumb pain that radiates,Hand Surgery
Pain in the back of my hand,Hand Surgery
Wrist stiffness and pain,Hand Surgery
Hand injury from a sports game,Hand Surgery
Pain in the palm and wrist,Hand Surgery
Hand numbness with tingling,Hand Surgery
Wrist pain from repetitive motion,Hand Surgery
Hand injury from a sharp object,Hand Surgery
Pain in the middle finger,Hand Surgery
Wrist swelling and pain,Hand Surgery
Hand injury that won't stop hurting,Hand Surgery
fever and cough for 3 days,Physician Assistant
pain in my shoulder blade,Physician Assistant
headache and fatigue for 2 weeks,Physician Assistant
swollen glands and fever,Physician Assistant
difficulty breathing at night,Physician Assistant
persistent stomach ache,Physician Assistant
rash on my arms and legs,Physician Assistant
itching all over body,Physician Assistant
nausea and vomiting,Physician Assistant
joint pain and stiffness,Physician Assistant
heartburn and indigestion,Physician Assistant
constant tiredness and weight loss,Physician Assistant
cold symptoms lasting weeks,Physician Assistant
unexplained weight loss,Physician Assistant
night sweats and fever,Physician Assistant
chest pain and shortness of breath,Physician Assistant
difficulty swallowing,Physician Assistant
swelling in my feet,Physician Assistant
irritability and mood changes,Physician Assistant
memory problems and confusion,Physician Assistant
persistent nosebleeds,Physician Assistant
sudden changes in vision,Physician Assistant
pain in my lower back,Physician Assistant
dry cough with mucus,Physician Assistant
feeling lightheaded,Physician Assistant
itchy skin and red bumps,Physician Assistant
loss of appetite and bloating,Physician Assistant
fever with chills and body aches,Physician Assistant
pain in my ears,Physician Assistant
headache with blurred vision,Physician Assistant
"After a car accident, I need plastic surgery for a scar.",Plastic and Reconstructive Surgery
My nose is crooked after a childhood injury.,Plastic and Reconstructive Surgery
I have a burn on my hand from a hot pot.,Plastic and Reconstructive Surgery
I’m worried about a lump on my face.,Plastic and Reconstructive Surgery
I need help with a skin graft after a severe injury.,Plastic and Reconstructive Surgery
I have a keloid scar on my elbow.,Plastic and Reconstructive Surgery
I’m looking for surgery to fix a cleft lip.,Plastic and Reconstructive Surgery
I have a deep cut on my leg that won’t heal.,Plastic and Reconstructive Surgery
I need a facelift after significant weight loss.,Plastic and Reconstructive Surgery
I’m concerned about a skin cancer diagnosis.,Plastic and Reconstructive Surgery
I have a tattoo that looks uneven.,Plastic and Reconstructive Surgery
I need surgery for a wound from a fall.,Plastic and Reconstructive Surgery
I’m looking for a surgeon to fix a nosebleed.,Plastic and Reconstructive Surgery
I have a cyst on my neck that’s painful.,Plastic and Reconstructive Surgery
I need help with a torn muscle in my face.,Plastic and Reconstructive Surgery
I’m worried about a facial asymmetry.,Plastic and Reconstructive Surgery
I have a broken nose and want to correct it.,Plastic and Reconstructive Surgery
I need a skin removal surgery for a mole.,Plastic and Reconstructive Surgery
I’m looking for a surgeon to fix a lip injury.,Plastic and Reconstructive Surgery
I have a severe scar from an accident.,Plastic and Reconstructive Surgery
I need help with a facial reconstruction after trauma.,Plastic and Reconstructive Surgery
I’m concerned about a skin ulcer on my leg.,Plastic and Reconstructive Surgery
I have a deformity from a childhood illness.,Plastic and Reconstructive Surgery
I need surgery for a severe sunburn.,Plastic and Reconstructive Surgery
I’m worried about a skin growth on my face.,Plastic and Reconstructive Surgery
I have a wound that’s not healing properly.,Plastic and Reconstructive Surgery
I need a surgeon for a facial trauma repair.,Plastic and Reconstructive Surgery
I’m looking for help with a facial defect from surgery.,Plastic and Reconstructive Surgery
I have a scar that’s causing emotional distress.,Plastic and Reconstructive Surgery
I need a procedure to fix a broken jaw.,Plastic and Reconstructive Surgery
Frequency of urination,Urology
Blood in urine,Urology
Urinary tract infection symptoms,Urology
Difficulty starting urine flow,Urology
Pain during urination,Urology
Urinary incontinence,Urology
Frequent nighttime urination,Urology
Urinary retention,Urology
Bladder pain,Urology
Urinary urgency,Urology
Weak stream when urinating,Urology
Pain in lower abdomen,Urology
Urinary tract infection treatment,Urology
Urinary tract infection causes,Urology
Urinary tract infection duration,Urology
Urinary tract infection home remedies,Urology
Urinary tract infection prevention,Urology
Urinary tract infection symptoms in women,Urology
Urinary tract infection symptoms in men,Urology
Urinary tract infection recurrence,Urology
Urinary tract infection after sex,Urology
Urinary tract infection in children,Urology
Urinary tract infection in elderly,Urology
Urinary tract infection medication,Urology
Urinary tract infection natural remedies,Urology
Urinary tract infection test,Urology
Urinary tract infection home care,Urology
Urinary tract infection diet,Urology
Urinary tract infection symptoms duration,Urology
Urinary tract infection treatment options,Urology
Toothache that won’t go away,Dentist
Bad tooth pain after eating,Dentist
Mouth sores that won’t heal,Dentist
Tooth sensitivity when drinking cold things,Dentist
Dentist for chipped tooth,Dentist
Loose tooth causing worry,Dentist
Gum pain near the front teeth,Dentist
Tooth pain that gets worse at night,Dentist
Missing tooth affecting speech,Dentist
Swollen gums with bleeding,Dentist
Tooth decay on front tooth,Dentist
Tooth pain after a filling,Dentist
Gum infection around a tooth,Dentist
Tooth pain with bad breath,Dentist
Dentist for broken tooth,Dentist
Toothache that comes and goes,Dentist
Gum line irritation,Dentist
Tooth pain from a cavity,Dentist
Dentist for root canal,Dentist
Tooth pain that doesn’t respond to over-the-counter meds,Dentist
Gum recession around teeth,Dentist
Tooth pain after a dental procedure,Dentist
Dentist for dental cleaning,Dentist
Tooth pain with difficulty chewing,Dentist
Gum pain that doesn’t go away,Dentist
Toothache that started recently,Dentist
Dentist for tooth extraction,Dentist
Tooth pain with a swollen cheek,Dentist
Gum infection that’s spreading,Dentist
Tooth pain that gets worse with pressure,Dentist
Fall prevention strategies for older adults,Geriatric Medicine
Memory loss in my 70-year-old parent,Geriatric Medicine
Managing chronic pain in seniors,Geriatric Medicine
Slurred speech and confusion in my grandmother,Geriatric Medicine
Difficulty walking with age,Geriatric Medicine
Senior depression symptoms and treatment,Geriatric Medicine
Balance issues and risk of falling,Geriatric Medicine
Senior sleep disturbances,Geriatric Medicine
Memory problems in elderly patients,Geriatric Medicine
Frequent urination in older men,Geriatric Medicine
Fatigue in elderly women,Geriatric Medicine
Senior heart symptoms to watch for,Geriatric Medicine
Dizziness in older adults,Geriatric Medicine
Senior nutrition tips,Geriatric Medicine
Cognitive decline in 80-year-old,Geriatric Medicine
Senior mobility challenges,Geriatric Medicine
Senior mental health concerns,Geriatric Medicine
Difficulty swallowing in elderly,Geriatric Medicine
Senior hearing loss effects,Geriatric Medicine
Senior vision problems,Geriatric Medicine
Senior digestive issues,Geriatric Medicine
Senior respiratory symptoms,Geriatric Medicine
Senior joint pain management,Geriatric Medicine
Senior skin care concerns,Geriatric Medicine
Senior fatigue causes,Geriatric Medicine
Senior weight loss concerns,Geriatric Medicine
Senior digestion issues,Geriatric Medicine
Senior mobility aid options,Geriatric Medicine
Senior mental health support,Geriatric Medicine
Senior memory loss solutions,Geriatric Medicine
CT scan for blood clots in leg,Interventional Radiology
Treatment for blocked arteries in legs,Interventional Radiology
Pain in leg after leg surgery,Interventional Radiology
When to see interventional radiologist,Interventional Radiology
Minimally invasive surgery for kidney stones,Interventional Radiology
How to get rid of leg swelling quickly,Interventional Radiology
Non-surgical treatment for varicose veins,Interventional Radiology
Need a procedure for deep vein thrombosis,Interventional Radiology
What's the alternative to open surgery,Interventional Radiology
Treatment for aneurysm in abdomen,Interventional Radiology
Pain from atherosclerosis in legs,Interventional Radiology
How to fix blocked arteries without surgery,Interventional Radiology
Should I get an angiogram,Interventional Radiology
Leg pain from poor blood flow,Interventional Radiology
Non-invasive way to treat clots,Interventional Radiology
When is a catheter procedure needed,Interventional Radiology
Treatment for abdominal aortic aneurysm,Interventional Radiology
Pain from a blood clot in leg,Interventional Radiology
How to get a leg angiogram,Interventional Radiology
Minimally invasive treatment for clots,Interventional Radiology
What's the best way to treat a blockage,Interventional Radiology
Need a procedure for leg pain,Interventional Radiology
How to treat leg swelling from clots,Interventional Radiology
When is surgery needed for leg pain,Interventional Radiology
Treatment for leg cramps from clots,Interventional Radiology
Non-surgical options for leg blockages,Interventional Radiology
What's the procedure for clots in legs,Interventional Radiology
How to get a catheter placement,Interventional Radiology
Treatment for leg pain and clots,Interventional Radiology
When to get a vascular procedure,Interventional Radiology
back pain relief with osteopathy,Osteopathic Manipulative Medicine
treatment for chronic neck pain,Osteopathic Manipulative Medicine
do osteopaths help with headaches,Osteopathic Manipulative Medicine
osteopathy for sciatica relief,Osteopathic Manipulative Medicine
pain from herniated disc,Osteopathic Manipulative Medicine
osteopathy for lower back pain,Osteopathic Manipulative Medicine
can osteopathy help with arthritis,Osteopathic Manipulative Medicine
how does osteopathy treat joint pain,Osteopathic Manipulative Medicine
osteopathy for muscle tension,Osteopathic Manipulative Medicine
pain in shoulders from poor posture,Osteopathic Manipulative Medicine
osteopathy for migraines,Osteopathic Manipulative Medicine
